"grid","easting","northing","era5_raw","era5_smooth","residual_pct"
"HP40",445000,1205000,913308.231111111,913390.9024739,-0.00905103856026685
"HP50",455000,1205000,916953.297777778,916252.971440194,0.0764337316672783
"HP51",455000,1215000,916953.297777778,912751.782836671,0.460312981043947
"HP52",455000,1225000,915060.266666667,909278.305092806,0.635884694650265
"HP60",465000,1205000,920280.248888889,919165.68312298,0.121258417973382
"HP61",465000,1215000,920280.248888889,915601.077743179,0.511049108553217
"HP62",465000,1225000,918560.106666667,912078.926805508,0.710594189897385
"HT93",395000,1135000,920589.208888889,916547.36434805,0.4409858887886
"HT94",395000,1145000,911403.573333333,913679.30107416,-0.249072922868172
"HU06",405000,1165000,911403.573333333,911332.122097079,0.00784030701016383
"HU14",415000,1145000,915716.782222222,917488.158725664,-0.19306805069862
"HU15",415000,1155000,915716.782222222,915619.509633371,0.0106236911541742
"HU16",415000,1165000,915716.782222222,913901.033844567,0.198681072721528
"HU17",415000,1175000,908900.071111111,912067.039367394,-0.347229767066147
"HU23",425000,1135000,928086.257777778,921840.616808027,0.677518527158973
"HU24",425000,1145000,919527.288888889,919830.664789577,-0.0329817119933756
"HU25",425000,1155000,919527.288888889,918240.565133452,0.140129265063531
"HU26",425000,1165000,919527.288888889,916723.839393813,0.305811780451711
"HU27",425000,1175000,913123.04,915004.556609202,-0.205629206500801
"HU28",425000,1185000,913123.04,912945.89370909,0.0194038104701101
"HU29",425000,1195000,908955.2,910458.221291638,-0.165084048503127
"HU30",435000,1105000,939954.542222222,934805.222967536,0.550844082614267
"HU31",435000,1115000,931242.115555556,930352.029013189,0.0956720160335625
"HU32",435000,1125000,931242.115555556,926905.68920367,0.467839004808686
"HU33",435000,1135000,931242.115555556,924431.203997032,0.736767812366591
"HU34",435000,1145000,923156.088888889,922664.511243118,0.0532780484976528
"HU35",435000,1155000,923156.088888889,921239.630955657,0.208030339646095
"HU36",435000,1165000,923156.088888889,919807.77744642,0.36402295398772
"HU37",435000,1175000,917304.8,918125.853951835,-0.0894271682145768
"HU38",435000,1185000,917304.8,916044.518250612,0.13757865739923
"HU39",435000,1195000,913308.231111111,913494.252200216,-0.0203636846818566
"HU40",445000,1105000,942774.791111111,937811.805254934,0.52920914711964
"HU41",445000,1115000,931242.115555556,933428.250938315,-0.2342049729652
"HU42",445000,1125000,931242.115555556,930161.574065644,0.116167074628636
"HU43",445000,1135000,931242.115555556,927780.152634416,0.373144748926661
"HU44",445000,1145000,923156.088888889,926039.418024565,-0.311361382631734
"HU45",445000,1155000,923156.088888889,924624.734541831,-0.158836941958956
"HU46",445000,1165000,923156.088888889,923162.502193973,-0.000694710310396288
"HU47",445000,1175000,917304.8,921422.885293122,-0.446926743284877
"HU48",445000,1185000,917304.8,919235.706119154,-0.210055604487584
"HU49",445000,1195000,913308.231111111,916539.491437093,-0.352550038069314
"HU53",455000,1135000,934020.071111111,931742.100925865,0.244485054714454
"HU54",455000,1145000,926434.773333333,929868.436680952,-0.369263350832117
"HU55",455000,1155000,926434.773333333,928306.431106282,-0.201620683670002
"HU56",455000,1165000,926434.773333333,926696.491711646,-0.0282420814854818
"HU57",455000,1175000,920745.955555556,924814.342341269,-0.439913894005342
"HU58",455000,1185000,920745.955555556,922455.611908451,-0.185337519857256
"HU59",455000,1195000,916953.297777778,919557.972681931,-0.283252930378799
"HU65",465000,1155000,928779.644444444,932137.431246848,-0.360224435780077
"HU66",465000,1165000,928779.644444444,930272.950839103,-0.16052346715142
"HU67",465000,1175000,923784.942222222,928133.280531313,-0.46850365139381
"HU68",465000,1185000,923784.942222222,925594.521627372,-0.195504550088339
"HU69",465000,1195000,920280.248888889,922567.008518734,-0.247869218032977
"HU77",475000,1175000,923784.942222222,931425.685111162,-0.820327698825284
"HW62",165000,1025000,937616.782222222,945546.486955787,-0.838637215933695
"HW63",165000,1035000,926352.728888889,941376.031896777,-1.59588756233977
"HW73",175000,1035000,926352.728888889,940733.057020934,-1.52863004278641
"HW83",185000,1035000,928229.724444444,939541.370112396,-1.20395397454377
"HX51",255000,1015000,936098.986666667,924510.789672303,1.25344096832779
"HX62",265000,1025000,933080.64,919913.609065231,1.43133342142294
"HY10",315000,1005000,925244.035555556,921833.749138005,0.369945927965801
"HY20",325000,1005000,932307.626666667,927330.941510743,0.536667648317228
"HY21",325000,1015000,932307.626666667,928269.896124014,0.434973767813923
"HY22",325000,1025000,932307.626666667,929476.279908073,0.304617430245134
"HY23",325000,1035000,939564.48,930203.665862433,1.00631877524246
"HY30",335000,1005000,932307.626666667,935300.073504705,-0.319945108827496
"HY31",335000,1015000,932307.626666667,936053.248003096,-0.400150455587814
"HY32",335000,1025000,932307.626666667,936897.387959438,-0.489889432050629
"HY33",335000,1035000,939564.48,937088.093906398,0.264263958714769
